label,text
trung lập,mày định lướt qua rồi nhưng khi đọc bình luận của các bạn và xem kĩ lại thì mày đã rớt nước mắt 😭😭😭.... người cha thật vĩ đại
trung lập,xin đi chơi với bạn ngày tổng kết không cho cứ bắt học miết :)) khá mệt
tiêu cực,cá nhân mình nghĩ nó dừng hay đỗ đúng sai thì đã có ca pạt còn nó đỗ trước cửa nhà mình mà oto hay xe không ra vào được thì lúc đó mới ý kiến . công nhận bọn oto đỗ trước nhà nhìn chỉ muốn đốt
trung lập,từ đầu năm giờ chắc chụp 10 lần rồi huhu sợ quá 😭😭😭
trung lập,t gặp quả này thì bỏ xe mà chạy ??
trung lập,thế con trai là của ai cho
tích cực,đây mí chính là cụ tổ của những chiếc sừng này
trung lập,muốn share về mà sợ bị bạn nè phẫn nộ quá
trung lập,"hồi học lớp 5 bảo bố đi mua sgk cho , xong bố đi mua nguyên bộ lớp 4 đầy đủ từ sgk đến vở bài tập 😂"
trung lập,nay buồn :(((
trung lập,"cv không áp lực , môi trường xung quanh mới dễ tạo áp lực"
tích cực,ai có link nhạc mấy bài trên không ạ hay vãi ra
trung lập,đây người ta gọi là . khi đại thánh nhập hoặc là múa lân đầu năm
trung lập,phải bồi thường thiệt hại bị trầy xước thân tàu . tiền sơn lại mấy toa tàu chắc cũng bộn .
trung lập,làm công nhân đã bị vắt kiệt sức khỏe cho đến khi bị thải
tích cực,khi nào phường có chế độ phát chồng khi mang thân đến đăng kí kết hôn tự nguyện 😊
tiêu cực,đéo được tích sự gì 😂
trung lập,haizzz ... thế là chưa có kq gì tốt đẹp cả ..
trung lập,bản thân cố gắng cũng chẳng dễ dàng gì :((
tiêu cực,"nói chung là 1 lũ lừa gạt thôi , việt nam mình là vậy đó"
trung lập,thế em ăn cơm chưa ?
trung lập,"thu trăm tỷ phạt 5tr , lại qua tỉnh khác hành nghề ha ha"
tiêu cực,chủ yếu là bọn trẻ đú với bọn dân trí thấp mà thích thể hiện bác nhỉ
tiêu cực,mày coi chừng có ngày tao dã dô mặt mày như dzầy
tích cực,canh thời gian đăng đúng vãi !
tiêu cực,quan trọng mấy thằng đó có chọn mj không . ngồi đó mà ảo tưởng
trung lập,học xong 12 như hết thanh xuân có lẽ phải bỏ lỡ 1 người
trung lập,mình thi xong còn không khóc được 😢
tích cực,"mỗi ngày mình ôm nhau 1 cái như này hén , hí hí"
trung lập,"trừ điểm , trừ điểm"
tiêu cực,"5 triệu , phạt một con mụ lừa đảo , phá hủy niềm tin phật giáo , làm ô uế đời sống tâm linh ... thật rẻ rúng làm sao !"
trung lập,cả tuần không được nói chuyện
tiêu cực,mày cẩn thận tao giết
tiêu cực,cạn lời với bọn súc vật này làm xấu mặt người bắc giang 😑😑😑
trung lập,bài này tao có 2 cảm xúc . đầu tiên về quán trà . đến cảm xúc quen lại c thy xong bị mẹ cấm :))
tích cực,đẹp trai quá
tiêu cực,đóng cái lồn tao nè chứ đóng
trung lập,"khổ thân người dân , trước dự án cao su là dự án cà phê , làm thêm dự án nữa coi như một đời bỏ phí"
trung lập,"hồi nhỏ bà mày có cho một con ngỗng mình tự tay nuôi nó . từ ngày đó nó đeo mày như chó mèo vậy . nhưng khi lớn nó lại mắc bệnh mà mất . giờ cũng hơn 4 , 5 năm rồi những nhớ nó lắm 😓"
tích cực,hồi nhỏ đọc tao đã nghi nghi rồi =))))))))
tiêu cực,ngẫm nghĩ cha của thánh gióng với sọ dừa ăn mặn vãi .
tiêu cực,"con cần bảo vệ thì giết sạch còn con cần tiêu diệt thì lại đem nuôi , cuộc sống lạ lùng vãi 😕"
tích cực,dù sao thì con trai vẫn nên là người mở lời trước à 🤣🤣🤣🤣🤣🤣
trung lập,ad cho hỏi nghệ an lúc nào mưa vậy ah 🌧🌧.. ốm cũng cam lòng chứ vã lắm rồi 🥵🥵
trung lập,giận ngược lại rồi giận luôn chứ có huề đéo đâu :(((
tích cực,tao được làm fan cứng giống mày rồi 🤣
tích cực,xem cái này mới biết vốn tiếng anh của mình cũng khá !
tiêu cực,thằng lol này tao đéo biết nó sống tốt với mọi người xung quanh như thế nào nào nhưng nó đã ngu còn tỏ ra ngu hẳn nữa
tích cực,ôi bé xinh gái vãi :))
tích cực,cười sái mẹ quai hàm
trung lập,rồi khi mày có 1 ít tiền :)) mày mới phát hiện ra còn đéo cả có người đi cùng cơ
trung lập,tự dưng cay mẹ mắt
trung lập,tao sợ thật sự :(((
tích cực,thịt nướng lò xô ne ăn z mà không chết 😎😎😎😎
tích cực,tốt quá
tích cực,ông nào viết vui tính thế =)) cưng thật
tích cực,không hiểu sao nhìu người lại thả haha nhỉ ??
tiêu cực,diễn viên già vãi -.-
tích cực,ghét nhất mấy loại bép xép thế thôi . nhanh gọn lẹ 😂😂😂
tích cực,cưng quá đi
tích cực,nhìn mẫu này lạ mắt mà đẹp quá
trung lập,tao cay mẹ khoé mắt
tiêu cực,thấy mệt thêm chứ chẳng khỏe gì cả .
tích cực,":)) đang ăn mỳ , không có trứng nhạt lắm , có rụnng thì xin vài quả !"
tích cực,"cảm ơn nói chuyện nhật ! 1 nền khoa học , giáo dục , trí tuệ văn minh !! 😘"
tiêu cực,tao mệt chúng mày quá
tích cực,hahaha lúc trước ca làm có 4 chị em vui biết bao :))
tiêu cực,đụ thế kia thì có khác nào mua cái bánh mà bị đứa bán hàng nó tạt cho gáo nước lạnh đâu 🙄
trung lập,các bạn đang bảo con này ah 😂😂😂
tích cực,má chủ dễ thương vậy tao cũng muốn xin
tích cực,"kinh nghiệm được truyền lại là khi nào nấu xong bỏ tí "" tro "" vào lần sau không phải nấu 😊"
trung lập,"có những con người luôn phải chịu đắng cay , cta không được chọn gia đình , bạn bè và càng không có quyền lựa chọn cuộc sống này . hãy vui lên với tất cả những gì ta đang có dù là hai bàn tay trắng"
tiêu cực,địt mẹ không có cái loại nào nó ác man và tàn độc hơn là cái loại người . xem mà điên đéo chịu được
tích cực,nhìn thương quá ... lao động nghiêm túc
trung lập,đm thực tế như này còn hay . tiếc là đéo ở gần mình =))
trung lập,mấy trụ kia em không tag được
tiêu cực,nhận nhầm con cặc . phải nói là 10 thằng thì 1 thằng nuôi con thằng khác
tích cực,ơ ơ ơ đây là đâu vậy
tiêu cực,gặm gặm cái đéo ý à ... bố gặm luôn mày giờ ...!!!
tiêu cực,"thằng nào nói câu : thế thì đừng làm nghề này . v nếu không có người làm nghề này thì ks sẽ mở cửa cho chúng mày vô àk , người có ăn học có ý thức sẽ không nói ra câu đó ."
tiêu cực,k phải là trời không cho mày yêu . vì m quá ngulon
trung lập,"tặng quà cáp gì tặng hộp nhỏ thôi nha . đi hát hò gì đừng đem thùng quà to như vậy nha , nó biết nó nhổ trụi lông nó ngắt mép chết đó :(("
trung lập,hết tiền rồi này
tích cực,"đẹp , dẽ thương mà"
tiêu cực,tử hình con mẹ nó lũ chó má không có tính người đi . khổ thân lũ trẻ
tích cực,phim xem hay ... nhẹ nhàng tình cảm ... và cười vkl
trung lập,thế làm sao dỗ bạn gái đang giận :(
tiêu cực,t nói thật tao hiền lắm . chứ bà lồn to kia mà gặp tao là ăn mấy cái mũ bảo hiểm vào mặt rồi :)
trung lập,loài này bé như ngón tay phàm ăn lắm sợ luôn
tiêu cực,"phí dịch vụ cao nhất , chuyển tiền nội mạng trừ phí tởm nhất , thái độ làm việc bố láo nhất , ít ưu đãi nhất ...."
tiêu cực,dume trailer kinh dị cho lắm vô rạp gặp toàn bọn xàm ngồi cười
trung lập,chẳng đủ dịu dàng để níu bước chân anh
trung lập,1 cái xe cup này ngày xưa bằng mấy cái nhà liền
tích cực,mỗi phút bên em thật tuyệt vời . chỉ em mới cho anh cái cảm giác đó
trung lập,em chưa có người yêu . có ai yêu em không . em cô đơn quá
tích cực,nhỏ nhặt nhưng ý nghĩa và hạnh phúc 😊
tiêu cực,hít đi cho no chứ mắc công lại chửi tao không biết điều giở trò trước mặt cẩu fa như mày :)
trung lập,bả đòi cái gì vậy ?
trung lập,"cái thứ ba , trời nhìn mà rơi nước mắt thay cho luôn công cả một mùa mà đi tong chỉ vì một trận mưa"
tích cực,biết không :)))
trung lập,dù có sống được mấy đời thì cũng nợ mẹ cha trọn cả mấy đời .
tiêu cực,mấy cái tin này thường làm tan nát tình cảm gia đình trong lúc ăn cơm xem thời sự .. bố tổ sư
tiêu cực,cô tiên béo quá .. 😅😅 giọng còn the thé nữa .. 😅😅
tiêu cực,lên án nhiều rồi mà vẫn thế .
tiêu cực,thằng này ngu vãi
tích cực,cây tre có tận trăm đốt luôn hả ???
trung lập,nói tiếng tuy hoà phú yên làm tao nhớ đến nyc . giọng nó sao ngọt không thể tả . buồn
tiêu cực,"mợ mệt , trưa nào cũng nhìn mày nhai chóp chép .."
trung lập,"đừng nên thích mấy ông anh cơ bắp , sợ lắm 😆"
tích cực,có ai vừa coi mà thấy phê phê cái lỗ tai giống tôi không ?? 😀
tiêu cực,tao đéo hiểu sao người yêu tao đi cắt tóc về trông mặt ngáo đến kì lạ 🤣🤣🤣
trung lập,và khi quay lại nói chuyện với nhau .... biết nói gì giờ huhu
tiêu cực,thằng cha bảo vệ có tâm quá . nge con nhỏ kêu nguyên đêm zi mà đéo cứu
tiêu cực,cũng mất công đẻ mà sao mẹ chúng nó đẻ ra lũ ngu thế haiz
tiêu cực,tao thấy giống khùng với lại vô duyên chứ hay gì
tích cực,cần gì những thứ xa hoa lộng lẫy đâu . dù chỉ 1 bông hoa nhưng đong đầy yêu thương nhắn tin đã cảm thấy đủ hạnh phúc rồi 😊😊😊
trung lập,t gặp ngỗng chạy bỏ dép
tiêu cực,"vừa ngu vừa ngông thì thế , làm trễ tàu của người ta"
tích cực,sao nó trèo lên được hay vậy @@
tích cực,"khuôn mặt ngây thơ vô số tội , trái tim nhỏ bé của tao sao chịu được ❤❤❤"
trung lập,cuộc sống mà đành chịu thôi =(((
trung lập,"cấp 3 , đáng tiếc nhất trong thời học sinh ^^"
trung lập,"mình đang nói phần lớn thôi , chứ tất nhiên cũng có ngoại lệ mà"
tích cực,"thích chị này nhất phim í , bé bé xinh xinh lại diễn rất đạt :3 . hy vọng mai sau sẽ có bước tiến lớn và thành công hơn nữa < 3"
tiêu cực,dạo này xem video của chán ấy không như xưa tại giờ toàn quảng cáo ấy ( ý kiến cá nhân ) 😔
trung lập,t thấy chả có gì thú vị .
tích cực,vậy mà củng chẳng hút được khách !
tích cực,khi nào lên chùa ba vàng giải được vong thì kết hôn :))
tiêu cực,thuở thiếu thời ai chẳn có phút bốc đồng . nên cho nó một trận để răng đe .. 🤣
tích cực,chắc phải 6 năm chưa nấu kiểu này rồi trước nấu hôm đầu cơm dẻo ai cũng khen ngon
tiêu cực,cận cảnh cái bụng nước lèo của boss =))) xài hao vãi
trung lập,bản chất tham lam của con người thể hiện ngay từ những việc nhỏ ..
trung lập,em đi bộ chết mẹ đây này
tích cực,"thật tốt vì chú chó ấy đã tìm được người yêu thương nó , kiên trì để nó tin tưởng thật sự :"">"
tiêu cực,"phim này xem nam chính thôi . nữ chính diễn chán vãi lúa lắm lúc tụt hứng lắm . giận không ra giận , vui không ra vui ."
tiêu cực,nhìn mặt nó khó ưa thật chứ
trung lập,lần sau thì mình sẽ như thế để đỡ phải cãi nhau nhiều ah :-)
trung lập,giờ lên phường người ta có phát chú rể không nhỉ các bạn ?
tiêu cực,một cái ngu thật sứng đáng
tích cực,năm nay tao không còn cảm thấy cô đơn và mỏi chân nữa ... vì tao được ngồi mát và ăn ké socola of bọn có người yêu 😁😂...# mun 😘
trung lập,hãy dùng một đời để minh chứng nhé !💕😍
tiêu cực,con mụ đen sai còn già mồm ...
tích cực,chỉ cần yên bình như thế này thôi . ❤️❤️❤️
trung lập,năm nay được nhận hoa và được ngồi nhìn người ta hạnh phúc
trung lập,chỉ sợ lúc nó dí
tích cực,hên là chay ra kip
tiêu cực,immm
trung lập,tao cũng có 1 người bà như trong video nhưng bà ấy qua đời rồi 🙁🙁🙁
tích cực,đa ́ người yêuc quá ́
tiêu cực,"5tr là tiền bà yến cúng vong cho công an phường quang trung để giải oan gia trái chủ của bà tiền kiếp thôi , chứ phạt g đâu , xếp lớn của bà và xếp lớn của công an phường là 1 , ai lại đi đá gà nhà ..."
trung lập,kinh dị v
tích cực,thật may em đã gặp được người tài xế tốt 🌸🌸
tích cực,bắn không trượt phát nào luôn à
tích cực,tại sao mày nằm viện mà vẫn xinh thế ??
tích cực,đẹp trai mà bị đá à
trung lập,cho con được thay ông bán vé đi 😔
tiêu cực,lớp xuất hiện thứ âm binh
tích cực,đọc bình luận cười ẻ
tích cực,cách này coi bộ hay nha 😂
tích cực,"mặt đúng kiểu , em hiểu cảm giác phê của anh không kkk"
tiêu cực,thanh niên suốt ngày hát karaoke max volum
tiêu cực,lỡ câu chuyện là thật thì sao . chưa gì lên chửi người ta là rẻ rách
tiêu cực,bố mày ngứa mắt lắm rồi đấy
tiêu cực,thề địt mẹ ngay đoạn hay cái lên nhạc + cast muốn đập điện thoại vãi :)
tiêu cực,cả đám súc vật này
tiêu cực,bố mấy thằng bệnh
trung lập,thật khó để có cả 2 khi chúng ta còn trẻ :)
tiêu cực,nếu cảm thấy không làm được thì nghỉ làm đi . đã xin đi làm thuê thì phải chấp nhận thôi . kêu than cái gì
tích cực,may mình đi làm rồi chứ 10 năm trước chắc sẽ phát khổ với bố mẹ vì mấy tin con nhà người ta như thế nào
tiêu cực,còn em trai cưng của tao sang nhà người thân quen của gia đình chowi thế là bị nhà họ nhốt lại hẳn 10 ngày liền ... dlm nhốt lại để em trai tao bắt chuột cho nhà họ mới hãm lồn
tiêu cực,mấy thằng này người ta gọi là mấy thằng nhà quê . năm nào rồi còn túm 5 tụm 3 trêu gái
tích cực,cô giáo có tâm vời nghề ghêeeee
trung lập,tiếc quá đẹp trai mờ không có chim
tích cực,crush ở nhà chơi gane rồi haha
trung lập,nhìn stt đồng cảm khủng khiếp .
tích cực,cài lò xô huyền thoại
tiêu cực,quên đào tạo đạo đức thôi mà báo làm căng vãi 😂
tiêu cực,đi bơi nên não bị úng nước à mấy thằng mặt lồn suy đồi đạo đức
tích cực,"cố gắng lên mọi lỗ lực và công lao của em sẽ được đền đáp một cách thật là sứng đáng , cố gắng lên em nhé 👍"
trung lập,hồi nhỏ cứ đi qua chỗ nào mà nhìn từ xa thấy bóng dáng mấy con đuỹ này là chuẩn bị tinh thần chạy chứ nó dí sấp mặt luôn dù mình đéo làm gì nó hết 😂 vừa dí vừa ngoác mỏ hét sợ vãi ra
tiêu cực,trốn cũng đéo tha
tích cực,"con gấu trúc , cho nó ăn trúc đi =))) tướng ngồi nhìn cưng vãi"
trung lập,rồi lại im thôi . 200k hay 5tr thì cũng vậy
tích cực,"cái lò huyền thoại nè , lúc mình ở chung đó"
trung lập,hi vọng trưa nay lúc ăn cơm vtv24 sẽ không đưa tin về bạn này ạ
trung lập,tí nữa vợ nó vắt chân lên cổ bò thì hú hồn
tích cực,tuyệt vời
tích cực,trẻ con bao giờ ga lăng sớm thế nhỉ ?! hồi mình bằng bọn này đuổi đánh nhau hỡi chết :)))))
trung lập,tính đi chạy xe mà mưa cho nên ta ở nhà :)
tích cực,nhìn nó cưng quá
tiêu cực,chủ tịch giả làm nhện và cái kết . đừng bao giờ xem thường người khác .
tiêu cực,"này thì cắt đức quan hệ , toàn thể hiện , dume nó"
tiêu cực,con gái bây giờ chẳng nhờ được cái đéo gì nhờ có phát mà đập mẹ luôn cái bình
tích cực,hạnh phúc to nè
tiêu cực,"độ "" thâm "" của bác phải gọi là "" bố "" của tàu"
tích cực,ông thần nhây vãi đái 😂😂
tích cực,tóm lại vẩn ế à
trung lập,chả vị nước mắt à 😔
tiêu cực,con lợn kia sao đập vào đầu vợ bé của tao =))
trung lập,tôi rất mong sử phạt giao thông cũng mạnh tay như thế nào thì tốt
trung lập,cứ sợ rớt điện thoại :)))) sợ nhất là lỡ khúc nào khó là té không thể tả nổi
tích cực,hình như anh nay đóng phim ngây ngô thì fải ... phim đó hay lắm các bạn nên xem
tích cực,hahaa coi cái mặt con nhỏ thấy thương
tích cực,"khiếp nhớ ngày xưa quá anh em ơi , đi làm cười từ sáng tới tối luôn 😩"
trung lập,tự nhiên tao cảm thấy bị nhột nhột trong người mày ạ
tích cực,"tỉ năm mới thấy cười một lần người gì đâu mà khó cười đến thế 🤨 chả bù cho mình , lúc đéo nào cũng cười , cuộc sống tràn ngập niềm vui < 3"
tích cực,không phải crush :v nhưng mà nhìn ổng cười mỉm nhìn cute vãi -.-😑😆❤
tích cực,anh tặng vợ cái bát nha kaka
tích cực,"tiêu đề bộ phim cứ ngỡ là thể loại hài , nhưng nếu xem hết thì các bạn sẽ rút ra rất nhiều điều và cái hay trong phim này"
tiêu cực,như lol
tích cực,bất ngờ chưa =)))
tiêu cực,"trời mới bắt đầu mưa , đéo lo thu thóc đi đứng đó quay ngang quay dọc"
tiêu cực,"ay , đau thế , thằng chó !"
trung lập,"có ai nhìn thấy hình như người đàn ông này đang rất đau khổ không nhỉ ? mình nhận thấy hình như ông ấy đang rất đau khổ , mà không thể or không muốn nói ra ."
tiêu cực,"đm cho tù mọt gông đi , cái thứ không não"
tiêu cực,con tao mà bị như này . cả nhà bon kia không quỳ mà xin thì xác con mẹ định luôn
trung lập,a ..... nhìn những hình ảnh này ... sao em nhớ về anh quá .... 15 năm ròng rã .. giờ anh lưu lạc nơi đâu . 😭😭😭😭
tiêu cực,"kiến phải loại kiến lửa , kiến vàng , còn loại kiến lấy cứt trâu làm tổ này thì đốt gì hả ông zời :))"
tích cực,có nên áp dụng với anh hàng xóm không nhể 😆😆😆
tích cực,đáng yêuc quá
trung lập,ok mà cần gì cứ cắt chất lượng lại thôi vẫn bán giá vậy
tiêu cực,làm như chỉ có chúng mày biết yêu nhau ý .
trung lập,nói chung là không nên uống chẳng bổ béo gì đâu
tích cực,không nổi thì mình chìm haha
trung lập,nóng tính quá hỏng viẹc - trẻ em rất thích ngọt mình nên nhẹ nhàng cương quyết mới được
trung lập,anh cũng bướng làm !
tiêu cực,"mỗi lần như thế tao chửi , mà bọn nó xem đó là trò đùa mày ạ , càng chửi càng cười"
trung lập,nhìn ma tiếc từng hạt trân châu
tích cực,thật cảm động
tích cực,"trời ơi , tin được không ????"
tích cực,nhìn mặt hài vler :)))
tích cực,"đấy gọi là biết ngu mà vẫn đâm đầu vào , giống tao :)"
tích cực,một phút huy hoàng rồi chợt tắt còn hơn le lói giữa ngàn thu
tiêu cực,người ngoài hành tinh đi học tiếng anh rồi à vãi
trung lập,đó là một câu chuyện buồn 😀
tiêu cực,lỗi đạo cụ
tiêu cực,dạo này bị xàm à 😂😂😂
trung lập,như chết đi sống lại 🙂
trung lập,"bất cứ lúc nào nghĩ về đời tao chỉ thấy vị cay , nồng nơi khóe mắt :))"
tích cực,điện cho đứa bạn . đem mũ ra . coi ai hơn ai . kakaa .
tiêu cực,thả tao ra để tao cắn chết mẹ nó =))
tích cực,tao cứ thấy giống giống mày :)))))
tiêu cực,vấn đề là phải cấm được xả thải chứ không thì chẳng khác mẹ gì nhau
tiêu cực,"giỏi thì tự đi mà thiết kế các kiểu . ở đó chỉ giỏi cào phím chê bai thôi . ông đã làm được gì , am hiểu gì mà chê này chê nọ"
tích cực,ngoài kia ! còn có rất nhiều điều tốt đẹp vẫn còn trên thế giớ này ! hy vọng những điều tốt đẹp luôn diễn ra từng giây phút ..
tích cực,cưng hết sức nà
tiêu cực,"học kiểu ăn nói láp xược , tại sao không dạy xưng tôi hay tôi mà là tao . đúng chất bắc láo"
tích cực,cái nệm này độ đàn hồi đỉnh ghê
trung lập,"em lấy đi niềm tin chả lại cho anh những gì , cũng vì anh vụng về đánh rơi hay càng xa vời càng dễ mất .. anh chân thành nên anh tổn thương"
tiêu cực,con mèo khốn nạn dám bóp vếu vợ tao à 😡
tích cực,"giỏi quá ta , cố gắng phát huy nha"
trung lập,"giờ mà quay lại cái thời đi học , tao thề không ngoan nữa mà sẽ bỏ học đi chơi vài bữa"
trung lập,ăn cả thế giới đã
tiêu cực,"mấy cái thằng này xử bắn hết đi , to xác không lo làm ăn suốt ngày trộm cắp"
tiêu cực,"đưa lên để nhận đồng cảm à ?? họ sai họ chịu phạt , còn người ta đỗ xe như thế bạn chả có quyền gì đuổi người ta cả . bỏ dần tư tưởng đường trước cửa nhà ta là của ta đi ."
trung lập,chú này tội lắm á :(
tiêu cực,gọi phường cẩu đi thôi
tiêu cực,link phim đéo có .. mà zo toàn gặp bình luận xàm
trung lập,chắc kiếp trước gieo nghiệp kiếp này phải gánh thôi
tích cực,hihi ảo tưởng
tích cực,hahah tao chưa nghe hoàn chỉnh bài này lần nào
tích cực,mình không quan tâm giá trị học bổng bao nhiêu . mà tớ q . tâm em đó sẽ dành những gì cho đất nước sau khi học xong thôi . hee . chúc mừng em .
trung lập,thế nếu sóc lên xong gõ thì n có trào lên không nhỉ
trung lập,2 tên sủa giống nhau đêm đêm thì rủ nhau hú ??
trung lập,dân dùng bằng giả có được khiển trách không nhỉ
tiêu cực,vì mày là đống vỏ năm xưa mẹ mày đổ vào đầu bố mày nên ngày nào nhìn mặt mày hắn cũng cay cú như thế :))
trung lập,người ta chỉ muốn dụ mày rồi xin một trái thận . 😪
trung lập,huhu trời ơiii
trung lập,lớp 5 mà viết kiểu này cô đánh gãy tay .
tiêu cực,con gái chả thế :)))) con trai đi dume mày có nhận hàng không
tiêu cực,"xoá mẹ nó đi , pr cho nó làm gì"
tích cực,t thích nhìn mắt của crush hơn là nhìn nó cười
tích cực,hành động đẹp
tiêu cực,"đập chết mẹ nó đi , nó làm người ta nhồi máu cơ tim có khác nào giết người gián tiếp mà ở mỹ gọi là giết người cấp độ 2 đấy"
tích cực,"đây là tao khi bảo "" tao biết đường mà , tin tao ."" 🙂"
trung lập,t nhớ tao đang xem xxx thì chưa cắm tai nghe 😭😭😭
tích cực,chuẩn . hài lòng với những thứ mình đang có . đừng mơ mộng những thứ viển vông
tích cực,quẹo lựa mấy đứa ơi . để lễ nay đặt vé luôn cho rồi . nóng quá rồi :))))
tiêu cực,"ai đời cho kiến đen đốt tr .... nta cho kiến vàng đốt chứ , ăn kì cục"
trung lập,may quá tao đang nhà đắp chăn xem cảnh này chứ đông vậy đi chắc chớt
tiêu cực,mặt mày nhìn chán thậc
tiêu cực,cả 2 đứa đều trẻ con . yêu đương kiểu này thì lsao mà tính chuyện lâu dài được
trung lập,ê tao với mày mà đi cái cầu này chắc rớt ngay bước đầu quá 😢😢 đã mặp rồi chân lùn nữa đi qua bằng niềm tin
trung lập,đau lòng quá
tiêu cực,chơi mất dậy . gặp tao là tiễn theo điện thoại luôn
tích cực,vụ này chắc xử nhanh hơn vụ trong thang máy .... 😂😂😂
trung lập,lúc rài không gặp được mặt cờ rút nữa 😪
tiêu cực,dạo này cứ đổ vỡ nhây nhớp là hấp dẫn cư dân mạng à :)) tao thấy đéo đến mức buồn quá
tích cực,giống tao hồi bé ... 😅
tiêu cực,có ai không bị giật mình như tao không . nhạt vãi =)))
trung lập,năm nay không được ăn dồi :((
trung lập,ổng bị bắt rồi :( rồi lấy gì coi
tích cực,"thể loại mới nè , có vẻ phê"
tích cực,con nào cũng là con nhé . con trai tao tập từ nhỏ đã biết tự lo và phụ mẹ rồi :))
tiêu cực,"cái con yêu nghiê ̣ tao này hồi nhỏ nó phập vào đùi mình . lần đầu nhìn thấy nó tươ ̉ người nó cũng hiền hiền như con vịt , ai ngờ mới bươ ́ c lại gần là nó di ́ rượt mình . cái kết là bầm tím phần đùi . đến giơ ̀ thấy nó là auto né ."
tích cực,nhện kìa haha
trung lập,đi tong một năm học ... nhưng vẫn tốt nghiệp ... :(
trung lập,càng thân thiết khi quay lưng càng đau lòng .
tích cực,lâu rồi chưa nghe ... nghe lại vẫn hay và ngấm như ngày nào :))
trung lập,tôi thấy tương lai của tôi trong bức ảnh này :d
tích cực,"đấu nhau to rồi , phen này hay"
trung lập,có thể bán lại cho tớ không ??????
tiêu cực,phí gì cũng cao nhất so với ngân hàg khác mà phục vụ lại tệ nhất ! sau đợt này vcb mất nhiều khác hàg !
trung lập,xem đi xem lại bao nhiêu lần cũng không chán ... vẫn cảm giác hồi hộp :)
tích cực,phải nói là hiền quá hiền luônnn 🤣
tiêu cực,phạt thế quá nhẹ ...
tiêu cực,có bồ mà cũng sân si
trung lập,trên đời sợ nhất mấy con trùn trùn như ri ! nhất là giun đất với rắn !!! đã từng bỏ tiết học sinh học mổ giun đất 😞😞
tích cực,sao tao thấy đa phần mấy đứa con trai cắt tóc xong nhìn ngáo đéo chịu được vậy =))).. cười tét cả hàm chứ đùa
trung lập,đơn giản thôi : nó giống như con chó vậy . khi ta đuổi thì nó chạy . khi ta chạy thì nó đuổi
trung lập,ướp đông lạnh luôn à
trung lập,chờ tý tao đi thay bỉm xíu tao quay lại .
trung lập,có hiệu quả không mới quan trọng
tiêu cực,sáng sớm đã đậm chất ngôn tình . tránh ra chỗ bà gym nào .
tích cực,anh chờ ... đáng yêu ghê
tiêu cực,cười như cục cức trôi sông lạc chợ 😏😏👌
trung lập,tao buồn mấy năm nay rồi
tích cực,phải đối xử tốt với chính bản thân mình :)
trung lập,"chủ động nói chuyện , nhắn tin khi có time . nhưng đời không như mơ"
tiêu cực,"móa , thiệt chứ tụi này nuôi làm gì vậy nhỉ ?"
tích cực,tao đang đi phân khối lớn đây . ai cũng kêu nhìn cá tính vãi 😁
trung lập,động lực để phụ nữ chiến đấu chính là gia đình và bản thân họ :)
trung lập,mink chỉ lo là nhà nước không đủ gạo nuôi mấy anh
tích cực,sản phẩm khá là mới lạ trong việt nam
